Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q9NS75	reviewed	CLTR2_HUMAN	Cysteinyl leukotriene receptor 2 (CysLTR2) (G-protein coupled receptor GPCR21) (hGPCR21) (G-protein coupled receptor HG57) (HPN321)	CYSLTR2 CYSLT2 CYSLT2R PSEC0146	Homo sapiens (Human)	346
P21728	reviewed	DRD1_HUMAN	D(1A) dopamine receptor (Dopamine D1 receptor)	DRD1	Homo sapiens (Human)	446
P14416	reviewed	DRD2_HUMAN	D(2) dopamine receptor (Dopamine D2 receptor)	DRD2	Homo sapiens (Human)	443
P35462	reviewed	DRD3_HUMAN	D(3) dopamine receptor (Dopamine D3 receptor)	DRD3	Homo sapiens (Human)	400
P21917	reviewed	DRD4_HUMAN	D(4) dopamine receptor (D(2C) dopamine receptor) (Dopamine D4 receptor)	DRD4	Homo sapiens (Human)	419
P21918	reviewed	DRD5_HUMAN	D(1B) dopamine receptor (D(5) dopamine receptor) (D1beta dopamine receptor) (Dopamine D5 receptor)	DRD5 DRD1B DRD1L2	Homo sapiens (Human)	477
P25101	reviewed	EDNRA_HUMAN	Endothelin-1 receptor (Endothelin receptor type A) (ET-A) (ETA-R) (hET-AR)	EDNRA ETA ETRA	Homo sapiens (Human)	427
P24530	reviewed	EDNRB_HUMAN	Endothelin receptor type B (ET-B) (ET-BR) (Endothelin receptor non-selective type)	EDNRB ETRB	Homo sapiens (Human)	442
P25116	reviewed	PAR1_HUMAN	Proteinase-activated receptor 1 (PAR-1) (Coagulation factor II receptor) (Thrombin receptor)	F2R CF2R PAR1 TR	Homo sapiens (Human)	425
P55085	reviewed	PAR2_HUMAN	Proteinase-activated receptor 2 (PAR-2) (Coagulation factor II receptor-like 1) (G-protein coupled receptor 11) (Thrombin receptor-like 1) [Cleaved into: Proteinase-activated receptor 2, alternate cleaved 1; Proteinase-activated receptor 2, alternate cleaved 2]	F2RL1 GPR11 PAR2	Homo sapiens (Human)	397
O00254	reviewed	PAR3_HUMAN	Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)	F2RL2 PAR3	Homo sapiens (Human)	374
Q96RI0	reviewed	PAR4_HUMAN	Proteinase-activated receptor 4 (PAR-4) (Coagulation factor II receptor-like 3) (Thrombin receptor-like 3)	F2RL3 PAR4	Homo sapiens (Human)	385
O14842	reviewed	FFAR1_HUMAN	Free fatty acid receptor 1 (G-protein coupled receptor 40)	FFAR1 GPR40	Homo sapiens (Human)	300
O15552	reviewed	FFAR2_HUMAN	Free fatty acid receptor 2 (G-protein coupled receptor 43)	FFAR2 FFA2 GPCR43 GPR43	Homo sapiens (Human)	330
O14843	reviewed	FFAR3_HUMAN	Free fatty acid receptor 3 (G-protein coupled receptor 41)	FFAR3 GPR41	Homo sapiens (Human)	346
Q5NUL3	reviewed	FFAR4_HUMAN	Free fatty acid receptor 4 (G-protein coupled receptor 120) (G-protein coupled receptor 129) (G-protein coupled receptor GT01) (G-protein coupled receptor PGR4) (Omega-3 fatty acid receptor 1)	FFAR4 GPR120 GPR129 O3FAR1 PGR4	Homo sapiens (Human)	361
P21462	reviewed	FPR1_HUMAN	fMet-Leu-Phe receptor (fMLP receptor) (N-formyl peptide receptor) (FPR) (N-formylpeptide chemoattractant receptor)	FPR1	Homo sapiens (Human)	350
P25090	reviewed	FPR2_HUMAN	N-formyl peptide receptor 2 (FMLP-related receptor I) (FMLP-R-I) (Formyl peptide receptor-like 1) (HM63) (Lipoxin A4 receptor) (LXA4 receptor) (RFP)	FPR2 FPRH1 FPRL1 LXA4R	Homo sapiens (Human)	351
P25089	reviewed	FPR3_HUMAN	N-formyl peptide receptor 3 (FMLP-related receptor II) (FMLP-R-II) (Formyl peptide receptor-like 2)	FPR3 FPRH1 FPRL2	Homo sapiens (Human)	353
P23945	reviewed	FSHR_HUMAN	Follicle-stimulating hormone receptor (FSH-R) (Follitropin receptor)	FSHR LGR1	Homo sapiens (Human)	695
Q9UP38	reviewed	FZD1_HUMAN	Frizzled-1 (Fz-1) (hFz1) (FzE1)	FZD1	Homo sapiens (Human)	647
Q9ULW2	reviewed	FZD10_HUMAN	Frizzled-10 (Fz-10) (hFz10) (FzE7) (CD antigen CD350)	FZD10	Homo sapiens (Human)	581
Q14332	reviewed	FZD2_HUMAN	Frizzled-2 (Fz-2) (hFz2) (FzE2)	FZD2	Homo sapiens (Human)	565
Q9NPG1	reviewed	FZD3_HUMAN	Frizzled-3 (Fz-3) (hFz3)	FZD3	Homo sapiens (Human)	666
Q9ULV1	reviewed	FZD4_HUMAN	Frizzled-4 (Fz-4) (hFz4) (FzE4) (CD antigen CD344)	FZD4	Homo sapiens (Human)	537
Q13467	reviewed	FZD5_HUMAN	Frizzled-5 (Fz-5) (hFz5) (FzE5)	FZD5 C2orf31	Homo sapiens (Human)	585
O60353	reviewed	FZD6_HUMAN	Frizzled-6 (Fz-6) (hFz6)	FZD6	Homo sapiens (Human)	706
O75084	reviewed	FZD7_HUMAN	Frizzled-7 (Fz-7) (hFz7) (FzE3)	FZD7	Homo sapiens (Human)	574
Q9H461	reviewed	FZD8_HUMAN	Frizzled-8 (Fz-8) (hFz8)	FZD8	Homo sapiens (Human)	694
O00144	reviewed	FZD9_HUMAN	Frizzled-9 (Fz-9) (hFz9) (FzE6) (CD antigen CD349)	FZD9 FZD3	Homo sapiens (Human)	591
Q9UBS5	reviewed	GABR1_HUMAN	Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1)	GABBR1 GPRC3A	Homo sapiens (Human)	961
O75899	reviewed	GABR2_HUMAN	Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51) (HG20)	GABBR2 GPR51 GPRC3B	Homo sapiens (Human)	941
P47211	reviewed	GALR1_HUMAN	Galanin receptor type 1 (GAL1-R) (GALR-1)	GALR1 GALNR GALNR1	Homo sapiens (Human)	349
O43603	reviewed	GALR2_HUMAN	Galanin receptor type 2 (GAL2-R) (GALR-2)	GALR2 GALNR2	Homo sapiens (Human)	387
O60755	reviewed	GALR3_HUMAN	Galanin receptor type 3 (GAL3-R) (GALR-3)	GALR3 GALNR3	Homo sapiens (Human)	368
Q92538	reviewed	GBF1_HUMAN	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 (BFA-resistant GEF 1)	GBF1 KIAA0248	Homo sapiens (Human)	1860
P47871	reviewed	GLR_HUMAN	Glucagon receptor (GL-R)	GCGR	Homo sapiens (Human)	477
Q9UJY5	reviewed	GGA1_HUMAN	ADP-ribosylation factor-binding protein GGA1 (Gamma-adaptin-related protein 1) (Golgi-localized, gamma ear-containing, ARF-binding protein 1)	GGA1	Homo sapiens (Human)	639
Q9UJY4	reviewed	GGA2_HUMAN	ADP-ribosylation factor-binding protein GGA2 (Gamma-adaptin-related protein 2) (Golgi-localized, gamma ear-containing, ARF-binding protein 2) (VHS domain and ear domain of gamma-adaptin) (Vear)	GGA2 KIAA1080	Homo sapiens (Human)	613
Q9NZ52	reviewed	GGA3_HUMAN	ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)	GGA3 KIAA0154	Homo sapiens (Human)	723
Q02643	reviewed	GHRHR_HUMAN	Growth hormone-releasing hormone receptor (GHRH receptor) (Growth hormone-releasing factor receptor) (GRF receptor) (GRFR)	GHRHR	Homo sapiens (Human)	423
Q92847	reviewed	GHSR_HUMAN	Growth hormone secretagogue receptor type 1 (GHS-R) (GH-releasing peptide receptor) (GHRP) (Ghrelin receptor)	GHSR	Homo sapiens (Human)	366
P48546	reviewed	GIPR_HUMAN	Gastric inhibitory polypeptide receptor (GIP-R) (Glucose-dependent insulinotropic polypeptide receptor)	GIPR	Homo sapiens (Human)	466
P43220	reviewed	GLP1R_HUMAN	Glucagon-like peptide 1 receptor (GLP-1 receptor) (GLP-1-R) (GLP-1R)	GLP1R	Homo sapiens (Human)	463
O95838	reviewed	GLP2R_HUMAN	Glucagon-like peptide 2 receptor (GLP-2 receptor) (GLP-2-R) (GLP-2R)	GLP2R	Homo sapiens (Human)	553
P29992	reviewed	GNA11_HUMAN	Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11) (Guanine nucleotide-binding protein G(y) subunit alpha)	GNA11 GA11	Homo sapiens (Human)	359
Q14344	reviewed	GNA13_HUMAN	Guanine nucleotide-binding protein subunit alpha-13 (G alpha-13) (G-protein subunit alpha-13)	GNA13	Homo sapiens (Human)	377
P63096	reviewed	GNAI1_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-1 (Adenylate cyclase-inhibiting G alpha protein)	GNAI1	Homo sapiens (Human)	354
P08754	reviewed	GNAI3_HUMAN	Guanine nucleotide-binding protein G(i) subunit alpha-3 (G(i) alpha-3)	GNAI3	Homo sapiens (Human)	354
P63092	reviewed	GNAS2_HUMAN	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short (Adenylate cyclase-stimulating G alpha protein)	GNAS GNAS1 GSP	Homo sapiens (Human)	394
P19086	reviewed	GNAZ_HUMAN	Guanine nucleotide-binding protein G(z) subunit alpha (G(x) alpha chain) (Gz-alpha)	GNAZ	Homo sapiens (Human)	355
P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	GNB1	Homo sapiens (Human)	340
O14775	reviewed	GNB5_HUMAN	Guanine nucleotide-binding protein subunit beta-5 (Gbeta5) (Transducin beta chain 5)	GNB5	Homo sapiens (Human)	395
P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 (G gamma-I)	GNG2	Homo sapiens (Human)	71
P30968	reviewed	GNRHR_HUMAN	Gonadotropin-releasing hormone receptor (GnRH receptor) (GnRH-R)	GNRHR GRHR	Homo sapiens (Human)	328
Q96P88	reviewed	GNRR2_HUMAN	Putative gonadotropin-releasing hormone II receptor (GnRH II receptor) (GnRH-II-R) (Type II GnRH receptor)	GNRHR2	Homo sapiens (Human)	292
Q8TDU6	reviewed	GPBAR_HUMAN	G-protein coupled bile acid receptor 1 (G-protein coupled receptor GPCR19) (hGPCR19) (Membrane-type receptor for bile acids) (M-BAR) (hBG37) (BG37)	GPBAR1 TGR5	Homo sapiens (Human)	330
Q99527	reviewed	GPER1_HUMAN	G-protein coupled estrogen receptor 1 (Chemoattractant receptor-like 2) (Flow-induced endothelial G-protein coupled receptor 1) (FEG-1) (G protein-coupled estrogen receptor 1) (G-protein coupled receptor 30) (GPCR-Br) (IL8-related receptor DRY12) (Lymphocyte-derived G-protein coupled receptor) (LYGPR) (Membrane estrogen receptor) (mER)	GPER1 CEPR CMKRL2 DRY12 GPER GPR30	Homo sapiens (Human)	375
Q96P66	reviewed	GP101_HUMAN	Probable G-protein coupled receptor 101	GPR101	Homo sapiens (Human)	508
Q5VW38	reviewed	GP107_HUMAN	Protein GPR107 (Lung seven transmembrane receptor 1)	GPR107 KIAA1624 LUSTR1	Homo sapiens (Human)	600
Q9NPR9	reviewed	GP108_HUMAN	Protein GPR108 (Lung seven transmembrane receptor 2)	GPR108 LUSTR2	Homo sapiens (Human)	543
Q8TDV5	reviewed	GP119_HUMAN	Glucose-dependent insulinotropic receptor (G-protein coupled receptor 119)	GPR119	Homo sapiens (Human)	335
P47775	reviewed	GPR12_HUMAN	G-protein coupled receptor 12	GPR12	Homo sapiens (Human)	334
Q9UNW8	reviewed	GP132_HUMAN	Probable G-protein coupled receptor 132 (G2 accumulation protein)	GPR132 G2A	Homo sapiens (Human)	380
Q8IZ08	reviewed	GP135_HUMAN	G-protein coupled receptor 135	GPR135	Homo sapiens (Human)	494
Q96N19	reviewed	G137A_HUMAN	Integral membrane protein GPR137 (Transmembrane 7 superfamily member 1-like 1 protein)	GPR137 C11orf4 GPR137A TM7SF1L1	Homo sapiens (Human)	417
O60478	reviewed	G137B_HUMAN	Integral membrane protein GPR137B (Transmembrane 7 superfamily member 1 protein)	GPR137B TM7SF1	Homo sapiens (Human)	399
Q8N3F9	reviewed	G137C_HUMAN	Integral membrane protein GPR137C (Transmembrane 7 superfamily member 1-like 2 protein)	GPR137C TM7SF1L2	Homo sapiens (Human)	429
Q6DWJ6	reviewed	GP139_HUMAN	Probable G-protein coupled receptor 139 (G(q)-coupled orphan receptor GPRg1) (G-protein-coupled receptor PGR3)	GPR139 GPRG1 PGR3	Homo sapiens (Human)	353
Q7Z602	reviewed	GP141_HUMAN	Probable G-protein coupled receptor 141 (G-protein coupled receptor PGR13)	GPR141 PGR13	Homo sapiens (Human)	305
Q7Z601	reviewed	GP142_HUMAN	Probable G-protein coupled receptor 142 (G-protein coupled receptor PGR2)	GPR142 PGR2	Homo sapiens (Human)	462
P51810	reviewed	GP143_HUMAN	G-protein coupled receptor 143 (Ocular albinism type 1 protein)	GPR143 OA1	Homo sapiens (Human)	404
Q96CH1	reviewed	GP146_HUMAN	Probable G-protein coupled receptor 146 (G-protein coupled receptor PGR8)	GPR146 PGR8	Homo sapiens (Human)	333
Q8TDV2	reviewed	GP148_HUMAN	Probable G-protein coupled receptor 148 (Brain and testis restricted GPCR) (G-protein coupled receptor PGR6)	GPR148 BTR PGR6	Homo sapiens (Human)	347
Q86SP6	reviewed	GP149_HUMAN	Probable G-protein coupled receptor 149 (G-protein coupled receptor PGR10)	GPR149 PGR10	Homo sapiens (Human)	731
P49685	reviewed	GPR15_HUMAN	G-protein coupled receptor 15 (Brother of Bonzo) (BoB)	GPR15	Homo sapiens (Human)	360
Q8NGU9	reviewed	GP150_HUMAN	Probable G-protein coupled receptor 150	GPR150	Homo sapiens (Human)	434
Q8TDV0	reviewed	GP151_HUMAN	G-protein coupled receptor 151 (G-protein coupled receptor PGR7) (GPCR-2037) (Galanin receptor 4) (Galanin-receptor-like protein) (GalRL)	GPR151 GALR4 GALRL PGR7	Homo sapiens (Human)	419
Q8TDT2	reviewed	GP152_HUMAN	Probable G-protein coupled receptor 152 (G-protein coupled receptor PGR5)	GPR152 PGR5	Homo sapiens (Human)	470
Q6NV75	reviewed	GP153_HUMAN	Probable G-protein coupled receptor 153 (G-protein coupled receptor PGR1)	GPR153 PGR1	Homo sapiens (Human)	609
Q7Z3F1	reviewed	LYCHS_HUMAN	Lysosomal cholesterol signaling protein (LYCHOS) (G-protein coupled receptor PGR22)	GPR155 PGR22	Homo sapiens (Human)	870
Q8NFN8	reviewed	GP156_HUMAN	Probable G-protein coupled receptor 156 (G-protein coupled receptor PGR28) (GABAB-related G-protein coupled receptor)	GPR156 GABABL PGR28	Homo sapiens (Human)	814
Q5UAW9	reviewed	GP157_HUMAN	G-protein coupled receptor 157	GPR157	Homo sapiens (Human)	335
Q5T848	reviewed	MGLYR_HUMAN	Metabotropic glycine receptor (mGlyR) (G-protein coupled receptor 158)	GPR158 KIAA1136	Homo sapiens (Human)	1215
Q9UJ42	reviewed	GP160_HUMAN	Probable G-protein coupled receptor 160 (G-protein coupled receptor GPCR1) (hGPCR1)	GPR160 GPCR150	Homo sapiens (Human)	338
Q8N6U8	reviewed	GP161_HUMAN	G-protein coupled receptor 161 (G-protein coupled receptor RE2)	GPR161	Homo sapiens (Human)	529
Q16538	reviewed	GP162_HUMAN	Probable G-protein coupled receptor 162 (Gene-rich cluster gene A protein)	GPR162 GRCA	Homo sapiens (Human)	588
Q13304	reviewed	GPR17_HUMAN	Uracil nucleotide/cysteinyl leukotriene receptor (UDP/CysLT receptor) (G-protein coupled receptor 17) (P2Y-like receptor) (R12)	GPR17	Homo sapiens (Human)	367
O14626	reviewed	GP171_HUMAN	G-protein coupled receptor 171 (G-protein coupled receptor H963)	GPR171 H963	Homo sapiens (Human)	319
Q9NS66	reviewed	GP173_HUMAN	Probable G-protein coupled receptor 173 (Super conserved receptor expressed in brain 3)	GPR173 SREB3	Homo sapiens (Human)	373
Q9BXC1	reviewed	GP174_HUMAN	Probable G-protein coupled receptor 174	GPR174 FKSG79 GPCR17	Homo sapiens (Human)	333
Q14439	reviewed	GP176_HUMAN	G-protein coupled receptor 176 (HB-954)	GPR176	Homo sapiens (Human)	515
Q6PRD1	reviewed	GP179_HUMAN	Probable G-protein coupled receptor 179 (Probable G-protein coupled receptor 158-like 1) (GPR158-like)	GPR179 GPR158L GPR158L1	Homo sapiens (Human)	2367
Q14330	reviewed	GPR18_HUMAN	N-arachidonyl glycine receptor (NAGly receptor) (G-protein coupled receptor 18)	GPR18 GPCRW	Homo sapiens (Human)	331
O15218	reviewed	GP182_HUMAN	G-protein coupled receptor 182	GPR182 ADMR	Homo sapiens (Human)	404
P32249	reviewed	GP183_HUMAN	G-protein coupled receptor 183 (Epstein-Barr virus-induced G-protein coupled receptor 2) (EBI2) (EBV-induced G-protein coupled receptor 2) (hEBI2)	GPR183 EBI2	Homo sapiens (Human)	361
Q15760	reviewed	GPR19_HUMAN	Probable G-protein coupled receptor 19 (GPR-NGA)	GPR19	Homo sapiens (Human)	415
Q99678	reviewed	GPR20_HUMAN	G-protein coupled receptor 20	GPR20	Homo sapiens (Human)	358
Q99679	reviewed	GPR21_HUMAN	Probable G-protein coupled receptor 21	GPR21	Homo sapiens (Human)	349
Q99680	reviewed	GPR22_HUMAN	G-protein coupled receptor 22	GPR22	Homo sapiens (Human)	433
O00155	reviewed	GPR25_HUMAN	Probable G-protein coupled receptor 25	GPR25	Homo sapiens (Human)	361
Q8NDV2	reviewed	GPR26_HUMAN	G-protein coupled receptor 26	GPR26	Homo sapiens (Human)	337
Q9NS67	reviewed	GPR27_HUMAN	Probable G-protein coupled receptor 27 (Super conserved receptor expressed in brain 1)	GPR27 SREB1	Homo sapiens (Human)	375
P46089	reviewed	GPR3_HUMAN	G-protein coupled receptor 3 (ACCA orphan receptor)	GPR3 ACCA	Homo sapiens (Human)	330
O00270	reviewed	GPR31_HUMAN	12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor (12-(S)-HETE receptor) (12-HETER) (G-protein coupled receptor 31) (GPR31/12-HETER)	GPR31	Homo sapiens (Human)	319
O75388	reviewed	GPR32_HUMAN	Probable G-protein coupled receptor 32	GPR32	Homo sapiens (Human)	356
Q8NGA4	reviewed	G32P1_HUMAN	Putative G-protein coupled receptor GPR32P1 (G-protein coupled 32 pseudogene) (G-protein coupled 32 pseudogene 1) (G-protein coupled receptor GPCR39) (hGPCR39)	GPR32P1	Homo sapiens (Human)	272
Q49SQ1	reviewed	GPR33_HUMAN	Probable G-protein coupled receptor 33	GPR33	Homo sapiens (Human)	333
Q9UPC5	reviewed	GPR34_HUMAN	Probable G-protein coupled receptor 34	GPR34	Homo sapiens (Human)	381
Q9HC97	reviewed	GPR35_HUMAN	G-protein coupled receptor 35 (Kynurenic acid receptor) (KYNA receptor)	GPR35	Homo sapiens (Human)	309
O15354	reviewed	GPR37_HUMAN	Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G-protein coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR)	GPR37	Homo sapiens (Human)	613
O60883	reviewed	G37L1_HUMAN	G-protein coupled receptor 37-like 1 (Endothelin B receptor-like protein 2) (ETBR-LP-2)	GPR37L1 ETBRLP2	Homo sapiens (Human)	481
O43194	reviewed	GPR39_HUMAN	G-protein coupled receptor 39	GPR39	Homo sapiens (Human)	453
P46093	reviewed	GPR4_HUMAN	G-protein coupled receptor 4 (G-protein coupled receptor 6C.l) (GPR6C.l)	GPR4	Homo sapiens (Human)	362
O15529	reviewed	GPR42_HUMAN	G-protein coupled receptor 42	GPR42 GPR42P	Homo sapiens (Human)	346
Q9Y5Y3	reviewed	GPR45_HUMAN	Probable G-protein coupled receptor 45 (PSP24-1) (PSP24-alpha)	GPR45	Homo sapiens (Human)	372
Q13585	reviewed	MTR1L_HUMAN	Melatonin-related receptor (G protein-coupled receptor 50) (H9) [Cleaved into: C-terminal domain]	GPR50	Homo sapiens (Human)	617
Q9Y2T5	reviewed	GPR52_HUMAN	G-protein coupled receptor 52	GPR52	Homo sapiens (Human)	361
Q9Y2T6	reviewed	GPR55_HUMAN	G-protein coupled receptor 55	GPR55	Homo sapiens (Human)	319
P46095	reviewed	GPR6_HUMAN	G-protein coupled receptor 6 (Sphingosine 1-phosphate receptor GPR6)	GPR6	Homo sapiens (Human)	362
Q9BZJ8	reviewed	GPR61_HUMAN	G-protein coupled receptor 61 (Biogenic amine receptor-like G-protein coupled receptor)	GPR61 BALGR GPCR3	Homo sapiens (Human)	451
Q9BZJ7	reviewed	GPR62_HUMAN	G-protein coupled receptor 62 (G-protein coupled receptor GPCR8) (hGPCR8) (G-protein coupled receptor KPG_005)	GPR62	Homo sapiens (Human)	368
Q9BZJ6	reviewed	GPR63_HUMAN	Probable G-protein coupled receptor 63 (PSP24-2) (PSP24-beta)	GPR63 PSP24B	Homo sapiens (Human)	419
Q8IYL9	reviewed	PSYR_HUMAN	Psychosine receptor (G-protein coupled receptor 65) (T-cell death-associated gene 8 protein)	GPR65 TDAG8	Homo sapiens (Human)	337
Q15743	reviewed	OGR1_HUMAN	Ovarian cancer G-protein coupled receptor 1 (OGR-1) (G-protein coupled receptor 68) (GPR12A) (Sphingosylphosphorylcholine receptor)	GPR68 OGR1	Homo sapiens (Human)	365
O95800	reviewed	GPR75_HUMAN	Probable G-protein coupled receptor 75	GPR75	Homo sapiens (Human)	540
Q96P69	reviewed	GPR78_HUMAN	G-protein coupled receptor 78	GPR78 UNQ5925/PRO19818	Homo sapiens (Human)	363
Q96P67	reviewed	GPR82_HUMAN	Probable G-protein coupled receptor 82	GPR82	Homo sapiens (Human)	336
Q9NYM4	reviewed	GPR83_HUMAN	G-protein coupled receptor 83 (G-protein coupled receptor 72)	GPR83 GPR72 JP05 KIAA1540	Homo sapiens (Human)	423
Q9NQS5	reviewed	GPR84_HUMAN	G-protein coupled receptor 84 (Inflammation-related G-protein coupled receptor EX33)	GPR84 EX33	Homo sapiens (Human)	396
P60893	reviewed	GPR85_HUMAN	Probable G-protein coupled receptor 85 (Super conserved receptor expressed in brain 2)	GPR85 SREB2	Homo sapiens (Human)	370
Q9BY21	reviewed	GPR87_HUMAN	G-protein coupled receptor 87 (G-protein coupled receptor 95)	GPR87 GPR95 FKSG78	Homo sapiens (Human)	358
Q9GZN0	reviewed	GPR88_HUMAN	G protein-coupled receptor 88 (Striatum-specific G-protein coupled receptor)	GPR88 STRG	Homo sapiens (Human)	384
B7ZAQ6	reviewed	GPHRA_HUMAN	Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)	GPR89A GPHRA GPR89 SH120 CGI-13 UNQ192/PRO218	Homo sapiens (Human)	455
P0CG08	reviewed	GPHRB_HUMAN	Golgi pH regulator B (Protein GPR89B)	GPR89B GPHRB GPR89C HSPC201	Homo sapiens (Human)	455
Q8NFJ5	reviewed	RAI3_HUMAN	Retinoic acid-induced protein 3 (G-protein coupled receptor family C group 5 member A) (Phorbol ester induced gene 1) (PEIG-1) (Retinoic acid-induced gene 1 protein) (RAIG-1)	GPRC5A GPCR5A RAI3 RAIG1	Homo sapiens (Human)	357
Q9NZH0	reviewed	GPC5B_HUMAN	G-protein coupled receptor family C group 5 member B (A-69G12.1) (Retinoic acid-induced gene 2 protein) (RAIG-2)	GPRC5B RAIG2	Homo sapiens (Human)	403
Q9NQ84	reviewed	GPC5C_HUMAN	G-protein coupled receptor family C group 5 member C (Retinoic acid-induced gene 3 protein) (RAIG-3)	GPRC5C RAIG3 PSEC0087	Homo sapiens (Human)	441
Q9NZD1	reviewed	GPC5D_HUMAN	G-protein coupled receptor family C group 5 member D	GPRC5D	Homo sapiens (Human)	345
Q5T6X5	reviewed	GPC6A_HUMAN	G-protein coupled receptor family C group 6 member A (hGPRC6A) (G-protein coupled receptor GPCR33) (hGPCR33)	GPRC6A	Homo sapiens (Human)	926
Q15835	reviewed	GRK1_HUMAN	Rhodopsin kinase GRK1 (RK) (EC 2.7.11.14) (G protein-coupled receptor kinase 1)	GRK1 RHOK	Homo sapiens (Human)	563
P25098	reviewed	ARBK1_HUMAN	Beta-adrenergic receptor kinase 1 (Beta-ARK-1) (EC 2.7.11.15) (G-protein coupled receptor kinase 2)	GRK2 ADRBK1 BARK BARK1	Homo sapiens (Human)	689
P35626	reviewed	ARBK2_HUMAN	G protein-coupled receptor kinase 3 (EC 2.7.11.15) (Beta-adrenergic receptor kinase 2) (Beta-ARK-2)	GRK3 ADRBK2 BARK2	Homo sapiens (Human)	688
P32298	reviewed	GRK4_HUMAN	G protein-coupled receptor kinase 4 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK4) (ITI1)	GRK4 GPRK2L GPRK4	Homo sapiens (Human)	578
P34947	reviewed	GRK5_HUMAN	G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5)	GRK5 GPRK5	Homo sapiens (Human)	590
P43250	reviewed	GRK6_HUMAN	G protein-coupled receptor kinase 6 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK6)	GRK6 GPRK6	Homo sapiens (Human)	576
Q8WTQ7	reviewed	GRK7_HUMAN	Rhodopsin kinase GRK7 (EC 2.7.11.14) (G protein-coupled receptor kinase 7) (G protein-coupled receptor kinase GRK7)	GRK7 GPRK7	Homo sapiens (Human)	553
Q13255	reviewed	GRM1_HUMAN	Metabotropic glutamate receptor 1 (mGluR1)	GRM1 GPRC1A MGLUR1	Homo sapiens (Human)	1194
Q14416	reviewed	GRM2_HUMAN	Metabotropic glutamate receptor 2 (mGluR2)	GRM2 GPRC1B MGLUR2	Homo sapiens (Human)	872
Q14832	reviewed	GRM3_HUMAN	Metabotropic glutamate receptor 3 (mGluR3)	GRM3 GPRC1C MGLUR3	Homo sapiens (Human)	879
Q14833	reviewed	GRM4_HUMAN	Metabotropic glutamate receptor 4 (mGluR4)	GRM4 GPRC1D MGLUR4	Homo sapiens (Human)	912
P41594	reviewed	GRM5_HUMAN	Metabotropic glutamate receptor 5 (mGluR5)	GRM5 GPRC1E MGLUR5	Homo sapiens (Human)	1212
O15303	reviewed	GRM6_HUMAN	Metabotropic glutamate receptor 6 (mGluR6)	GRM6 GPRC1F MGLUR6	Homo sapiens (Human)	877
Q14831	reviewed	GRM7_HUMAN	Metabotropic glutamate receptor 7 (mGluR7)	GRM7 GPRC1G MGLUR7	Homo sapiens (Human)	915
O00222	reviewed	GRM8_HUMAN	Metabotropic glutamate receptor 8 (mGluR8)	GRM8 GPRC1H MGLUR8	Homo sapiens (Human)	908
P30550	reviewed	GRPR_HUMAN	Gastrin-releasing peptide receptor (GRP-R) (GRP-preferring bombesin receptor)	GRPR	Homo sapiens (Human)	384
Q9BXC0	reviewed	HCAR1_HUMAN	Hydroxycarboxylic acid receptor 1 (G-protein coupled receptor 104) (G-protein coupled receptor 81)	HCAR1 GPR104 GPR81 HCA1 FKSG80	Homo sapiens (Human)	346
Q8TDS4	reviewed	HCAR2_HUMAN	Hydroxycarboxylic acid receptor 2 (G-protein coupled receptor 109A) (G-protein coupled receptor HM74A) (Niacin receptor 1) (Nicotinic acid receptor)	HCAR2 GPR109A HCA2 HM74A NIACR1	Homo sapiens (Human)	363
P49019	reviewed	HCAR3_HUMAN	Hydroxycarboxylic acid receptor 3 (G-protein coupled receptor 109B) (G-protein coupled receptor HM74) (G-protein coupled receptor HM74B) (Niacin receptor 2) (Nicotinic acid receptor 2)	HCAR3 GPR109B HCA3 HM74B NIACR2	Homo sapiens (Human)	387
